Address,City,state,matchAddress,Style,Style2,yearBuilt,propertyRank,currentUse,buildingName,communityArea,architect,buildingType,chicagoLandmarkLink,latitude,longitude,imageLink,photoCredit,photoCreditLink,webLink
712 N Ada Street,Chicago,IL,712-n-ada-street,Unclassified Style,,1884,(GN),,,West Town ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1708103036&formNumber=242601033,41.894762,-87.661654,https://chicagoarchitecturedata.com/static/images/assessor_images/17081030360000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/712-n-ada-street/
1956 W Washington Boulevard,Chicago,IL,1956-w-washington-boulevard,Unclassified Style,,,(GN),,,Near West Side ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1707421022&formNumber=282717031,41.883431,-87.676444,https://chicagoarchitecturedata.com/static/images/assessor_images/17074210220000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/1956-w-washington-boulevard/
134 N Ashland Avenue,Chicago,IL,134-n-ashland-avenue,Unclassified Style,,1971,(GN),,,Near West Side ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1707420031&formNumber=282717018,41.88464,-87.667048,https://chicagoarchitecturedata.com/static/images/assessor_images/17074200310000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/134-n-ashland-avenue/
1900 W Kinzie Street,Chicago,IL,1900-w-kinzie-street,Unclassified Style,,,(GN),,,West Town ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1707236018&formNumber=242602062,41.888934,-87.675107,https://chicagoarchitecturedata.com/static/images/assessor_images/17072360180000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/1900-w-kinzie-street/
422 N Wolcott Avenue,Chicago,IL,422-n-wolcott-avenue,Unclassified Style,,1888,(GN),,,West Town ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1707236007&formNumber=242602091,41.889541,-87.674638,https://chicagoarchitecturedata.com/static/images/assessor_images/17072360070000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/422-n-wolcott-avenue/
900 N Ashland Avenue,Chicago,IL,900-n-ashland-avenue,Unclassified Style,,1903,(GN),,,West Town ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1706432024&formNumber=242605130,41.897987,-87.667737,https://chicagoarchitecturedata.com/static/images/assessor_images/17064320240000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/900-n-ashland-avenue/
1655 W Walton Street,Chicago,IL,1655-w-walton-street,Unclassified Style,,,(GN),,,West Town ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1706431001&formNumber=242605168,41.898454,-87.668925,https://chicagoarchitecturedata.com/static/images/assessor_images/17064310010000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/1655-w-walton-street/
862 N Hermitage Avenue,Chicago,IL,862-n-hermitage-avenue,Unclassified Style,,1902,(GN),,,West Town ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1706429022&formNumber=242605107,41.897788,-87.671365,https://chicagoarchitecturedata.com/static/images/assessor_images/17064290220000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/862-n-hermitage-avenue/
1024 N Ashland Avenue,Chicago,IL,1024-n-ashland-avenue,Unclassified Style,,,(GN),,,West Town ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1706420023&formNumber=242605195,41.900479,-87.667808,https://chicagoarchitecturedata.com/static/images/assessor_images/17064200230000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/1024-n-ashland-avenue/
1037 N Paulina Street,Chicago,IL,1037-n-paulina-street,Unclassified Style,,,(GN),,,West Town ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1706419002&formNumber=242605159,41.900785,-87.669528,https://chicagoarchitecturedata.com/static/images/assessor_images/17064190020000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/1037-n-paulina-street/
1014 N Paulina Street,Chicago,IL,1014-n-paulina-street,Unclassified Style,,1891,(GN),,,West Town ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1706418025&formNumber=242605155,41.900177,-87.670207,https://chicagoarchitecturedata.com/static/images/assessor_images/17064180250000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/1014-n-paulina-street/
1003 N Wolcott Avenue,Chicago,IL,1003-n-wolcott-avenue,Unclassified Style,,,(GN),,,West Town ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1706415017&formNumber=242605178,41.899793,-87.674456,https://chicagoarchitecturedata.com/static/images/assessor_images/17064150170000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/1003-n-wolcott-avenue/
1065 N Marshfield Avenue,Chicago,IL,1065-n-marshfield-avenue,Unclassified Style,,1891,(GN),,,West Town ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1706412010&formNumber=242605138,41.901548,-87.668328,https://chicagoarchitecturedata.com/static/images/assessor_images/17064120100000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/1065-n-marshfield-avenue/
1077 N Marshfield Avenue,Chicago,IL,1077-n-marshfield-avenue,Unclassified Style,,1891,(GN),,,West Town ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1706412005&formNumber=242605141,41.901892,-87.668338,https://chicagoarchitecturedata.com/static/images/assessor_images/17064120050000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/1077-n-marshfield-avenue/
1079 N Marshfield Avenue,Chicago,IL,1079-n-marshfield-avenue,Unclassified Style,,1891,(GN),,,West Town ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1706412004&formNumber=242605142,41.901961,-87.66834,https://chicagoarchitecturedata.com/static/images/assessor_images/17064120040000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/1079-n-marshfield-avenue/
1083 N Paulina Street,Chicago,IL,1083-n-paulina-street,Unclassified Style,,1881,(GN),,,West Town ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1706411003&formNumber=242605161,41.902009,-87.669567,https://chicagoarchitecturedata.com/static/images/assessor_images/17064110030000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/1083-n-paulina-street/
1087 N Paulina Street,Chicago,IL,1087-n-paulina-street,Unclassified Style,,1879,(GN),,,West Town ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1706411001&formNumber=242605162,41.902147,-87.669571,https://chicagoarchitecturedata.com/static/images/assessor_images/17064110010000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/1087-n-paulina-street/
1657 W Division Street,Chicago,IL,1657-w-division-street,Unclassified Style,,1889,(GN),,,West Town ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1706407002&formNumber=242605096,41.90303,-87.669786,https://chicagoarchitecturedata.com/static/images/assessor_images/17064070020000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/1657-w-division-street/
2015 W Augusta Boulevard,Chicago,IL,2015-w-augusta-boulevard,Unclassified Style,,1901,(GN),,,West Town ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1706319015&formNumber=242606057,41.899257,-87.6779,https://chicagoarchitecturedata.com/static/images/assessor_images/17063190150000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/2015-w-augusta-boulevard/
310 W Chicago Avenue,Chicago,IL,310-w-chicago-avenue,Unclassified Style,,1894,(GN),,,Near North Side ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1704444006&formNumber=084211077,41.89683,-87.636287,https://chicagoarchitecturedata.com/static/images/assessor_images/17044440060000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/310-w-chicago-avenue/
158 W Schiller Street,Chicago,IL,158-w-schiller-street,Unclassified Style,,1891,(GN),,,Near North Side ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1704205035&formNumber=084215117,41.907831,-87.63388,https://chicagoarchitecturedata.com/static/images/assessor_images/17042050350000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/158-w-schiller-street/
195 E Delaware Place,Chicago,IL,195-e-delaware-place,Unclassified Style,,1930,(GN),,,Near North Side ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1703220007&formNumber=084209014,41.898986,-87.622175,https://chicagoarchitecturedata.com/static/images/assessor_images/17032200070000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/195-e-delaware-place/
20 E Chestnut Street,Chicago,IL,20-e-chestnut-street,Unclassified Style,,,(GN),,,Near North Side ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1703216015&formNumber=084210092,41.898559,-87.627421,https://chicagoarchitecturedata.com/static/images/assessor_images/17032160150000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/20-e-chestnut-street/
111 E Bellevue Place,Chicago,IL,111-e-bellevue-place,Unclassified Style,,1911,(GN),,,Near North Side ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1703204030&formNumber=084210090,41.901377,-87.625287,https://chicagoarchitecturedata.com/static/images/assessor_images/17032040300000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/111-e-bellevue-place/
46 E Elm Street,Chicago,IL,46-e-elm-street,Unclassified Style,,,(GN),,,Near North Side ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1703200043&formNumber=084210095,41.903455,-87.626856,https://chicagoarchitecturedata.com/static/images/assessor_images/17032000430000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/46-e-elm-street/
11 E Division Street,Chicago,IL,11-e-division-street,Unclassified Style,,1891,(GN),,,Near North Side ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1703200004&formNumber=084210094,41.903752,-87.628134,https://chicagoarchitecturedata.com/static/images/assessor_images/17032000040000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/11-e-division-street/
2611 W 21st Street,Chicago,IL,2611-w-21st-street,Unclassified Style,,1892,(GN),,,South Lawndale ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1624423021&formNumber=302514046,41.853538,-87.69112,https://chicagoarchitecturedata.com/static/images/assessor_images/16244230210000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/2611-w-21st-street/
2542 W Ogden Avenue,Chicago,IL,2542-w-ogden-avenue,Unclassified Style,,1938,(GN),,,North Lawndale ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1624204009&formNumber=292516027,41.863838,-87.690065,https://chicagoarchitecturedata.com/static/images/assessor_images/16242040090000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/2542-w-ogden-avenue/
3135 W Douglas Boulevard,Chicago,IL,3135-w-douglas-boulevard,Unclassified Style,,,(GN),,,North Lawndale ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1624104027&formNumber=292406012,41.862161,-87.704396,https://chicagoarchitecturedata.com/static/images/assessor_images/16241040270000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/3135-w-douglas-boulevard/
1502 S Homan Avenue,Chicago,IL,1502-s-homan-avenue,Unclassified Style,,1891,(GN),,,North Lawndale ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1623225022&formNumber=292407021,41.86067,-87.710734,https://chicagoarchitecturedata.com/static/images/assessor_images/16232250220000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/1502-s-homan-avenue/
1313 S Spaulding Avenue,Chicago,IL,1313-s-spaulding-avenue,Unclassified Style,,1903,(GN),,,North Lawndale ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1623212006&formNumber=292407027,41.864089,-87.707693,https://chicagoarchitecturedata.com/static/images/assessor_images/16232120060000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/1313-s-spaulding-avenue/
127 S Mason Avenue,Chicago,IL,127-s-mason-avenue,Unclassified Style,,1897,(GN),,,Austin ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1617201023&formNumber=252905015,41.878225,-87.772591,https://chicagoarchitecturedata.com/static/images/assessor_images/16172010230000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/127-s-mason-avenue/
3558 W Roosevelt Road,Chicago,IL,3558-w-roosevelt-road,Unclassified Style,,,(GN),,,North Lawndale ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1614426021&formNumber=292411005,41.866607,-87.715265,https://chicagoarchitecturedata.com/static/images/assessor_images/16144260210000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/3558-w-roosevelt-road/
2436 W Flournoy Street,Chicago,IL,2436-w-flournoy-street,Unclassified Style,,,(GN),,,Near West Side ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1613403029&formNumber=282519018,41.873233,-87.687687,https://chicagoarchitecturedata.com/static/images/assessor_images/16134030290000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/2436-w-flournoy-street/
2641 W Jackson Boulevard,Chicago,IL,2641-w-jackson-boulevard,Unclassified Style,,,(GN),,,East Garfield Park ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1613217008&formNumber=272711020,41.877251,-87.692913,https://chicagoarchitecturedata.com/static/images/assessor_images/16132170080000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/2641-w-jackson-boulevard/
206 S Sacramento Boulevard,Chicago,IL,206-s-sacramento-boulevard,Unclassified Style,,1889,(GN),,,East Garfield Park ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1613115038&formNumber=272712045,41.878025,-87.701486,https://chicagoarchitecturedata.com/static/images/assessor_images/16131150380000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/206-s-sacramento-boulevard/
214 S Troy Street,Chicago,IL,214-s-troy-street,Unclassified Style,,,(GN),,,East Garfield Park ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1613112022&formNumber=272712047,41.877809,-87.705166,https://chicagoarchitecturedata.com/static/images/assessor_images/16131120220000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/214-s-troy-street/
2436 W Augusta Boulevard,Chicago,IL,2436-w-augusta-boulevard,Unclassified Style,,1894,(GN),,,West Town ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1601415027&formNumber=242607016,41.899456,-87.688001,https://chicagoarchitecturedata.com/static/images/assessor_images/16014150270000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/2436-w-augusta-boulevard/
1623 N Sedgwick Street,Chicago,IL,1623-n-sedgwick-street,Unclassified Style,,1883,Possesses potentially significant architectural or historical features(OR),,,Lincoln Park ,,2-3 Flat,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1433421051&formNumber=07OLDT341,41.91178,-87.638348,https://chicagoarchitecturedata.com/static/images/assessor_images/14334210510000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/1623-n-sedgwick-street/
1722 N North Park Avenue,Chicago,IL,1722-n-north-park-avenue,Unclassified Style,,,Possesses potentially significant architectural or historical features(OR),,,Lincoln Park ,,Single Family Residence,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1433416014&formNumber=07OLDT301,41.913579,-87.637001,https://chicagoarchitecturedata.com/static/images/assessor_images/14334160140000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/1722-n-north-park-avenue/
226 W Willow Street,Chicago,IL,226-w-willow-street,Unclassified Style,,1911,Possesses potentially significant architectural or historical features(OR),,,Lincoln Park ,,Single Family Residence,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1433413019&formNumber=07OLDT431,41.914329,-87.63598,https://chicagoarchitecturedata.com/static/images/assessor_images/14334130190000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/226-w-willow-street/
321 W Menomonee Street,Chicago,IL,321-w-menomonee-street,Unclassified Style,,1920,Possesses potentially significant architectural or historical features(OR),,,Lincoln Park ,,Double House,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1433412015&formNumber=07OLDT231,41.914594,-87.637138,https://chicagoarchitecturedata.com/static/images/assessor_images/14334120150000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/321-w-menomonee-street/
218 W Menomonee Street,Chicago,IL,218-w-menomonee-street,Unclassified Style,,1891,Possesses potentially significant architectural or historical features(OR),,,Lincoln Park ,,2-3 Flat,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1433408013&formNumber=07OLDT223,41.914997,-87.635709,https://chicagoarchitecturedata.com/static/images/assessor_images/14334080130000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/218-w-menomonee-street/
1628 N Sedgwick Street,Chicago,IL,1628-n-sedgwick-street,Unclassified Style,,,Possesses potentially significant architectural or historical features(OR),,,Lincoln Park ,,Multi-Residential,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1433331034&formNumber=07OLDT345,41.911972,-87.638968,https://chicagoarchitecturedata.com/static/images/assessor_images/14333310340000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/1628-n-sedgwick-street/
1627 N Mohawk Street,Chicago,IL,1627-n-mohawk-street,Unclassified Style,,1883,Possesses potentially significant architectural or historical features(OR),,,Lincoln Park ,,2-3 Flat,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1433328008&formNumber=07OLDT267,41.911863,-87.642013,https://chicagoarchitecturedata.com/static/images/assessor_images/14333280080000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/1627-n-mohawk-street/
2600 W North Avenue,Chicago,IL,2600-w-north-avenue,Unclassified Style,,1886,(GN),,,West Town ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1336428036&formNumber=242609010,41.910582,-87.692282,https://chicagoarchitecturedata.com/static/images/assessor_images/13364280360000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/2600-w-north-avenue/
1665 N Mozart Street,Chicago,IL,1665-n-mozart-street,Unclassified Style,,,(GN),,,West Town ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1336331001&formNumber=242610031,41.912203,-87.697773,https://chicagoarchitecturedata.com/static/images/assessor_images/13363310010000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/1665-n-mozart-street/
3947 West Fullerton Avenue,Chicago,IL,3947-west-fullerton-avenue,Unclassified Style,,,,,,,,,,41.924194,-87.726155,https://chicagoarchitecturedata.com/static/images/assessor_images/13351000030000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/3947-west-fullerton-avenue/
4918 S Kimbark Avenue,Chicago,IL,4918-s-kimbark-avenue,Tudor,,1910,Possesses potentially significant architectural or historical features(OR),,,Kenwood ,,Single Family Residence,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=2011207016&formNumber=39KNWD242,41.80554,-87.595603,https://chicagoarchitecturedata.com/static/images/assessor_images/20112070160000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/4918-s-kimbark-avenue/
200 E Pearson Street,Chicago,IL,200-e-pearson-street,Tudor,Classical,1920,Possesses potentially significant architectural or historical features(OR),,,Near North Side ,"De Golyer, Robert S.",Multi-Residential,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1703227010&formNumber=084209002,41.897821,-87.62157,https://chicagoarchitecturedata.com/static/images/assessor_images/17032270100000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/200-e-pearson-street/
4837 W Irving Park Road,Chicago,IL,4837-w-irving-park-road,Sullivanesque,,1926,Possesses potentially significant architectural or historical features(OR),,,Portage Park ,"Von Holst, Hermann V.",Utility,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1321203003&formNumber=154502001,41.953116,-87.748847,https://chicagoarchitecturedata.com/static/images/building_images/4837-w-irving-park-road-1462743646.jpg.800x800_q85_upscale.jpg,John Morris,http://john-morris.com/,https://chicagoarchitecturedata.com/buildings/4837-w-irving-park-road/
1121 N Leavitt Street,Chicago,IL,1121-n-leavitt-street,Sullivanesque,,,(RD),,,West Town ,"Sullivan, Louis",Religious Miscellaneous,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1706306001&formNumber=242606052,41.901871,-87.681744,https://chicagoarchitecturedata.com/static/images/assessor_images/17063060010000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/1121-n-leavitt-street/
36 N Canal Street,Chicago,IL,36-n-canal-street,Second Renaissance Revival,,,Possesses potentially significant architectural or historical features(OR),,,Near West Side ,Frost & Granger,Railroad,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1709324003&formNumber=282714004,41.882341,-87.639788,https://chicagoarchitecturedata.com/static/images/assessor_images/17093240030000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/36-n-canal-street/
201 N Clinton Street,Chicago,IL,201-n-clinton-street,Second Renaissance Revival,,,Possesses potentially significant architectural or historical features(OR),,,Near West Side ,,Utility,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1709316001&formNumber=282714006,41.885965,-87.641077,https://chicagoarchitecturedata.com/static/images/assessor_images/17093160010000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/201-n-clinton-street/
2018 W 21st Place,Chicago,IL,2018-w-21st-place,Second Empire,Classical,1884,Possesses potentially significant architectural or historical features(OR),Zamora Grocery,,Lower West Side ,,Commercial/Residential,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1719321031&formNumber=312513020,41.853356,-87.676692,https://chicagoarchitecturedata.com/static/images/assessor_images/17193210310000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/2018-w-21st-place/
1841 N Lincoln Avenue,Chicago,IL,1841-n-lincoln-avenue,Second Empire,,1871,Possesses potentially significant architectural or historical features(OR),,,Lincoln Park ,,Single Family Residence,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1433409007&formNumber=07OLDT182,41.916168,-87.635399,https://chicagoarchitecturedata.com/static/images/assessor_images/14334090070000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/1841-n-lincoln-avenue/
5518 S Hyde Park Boulevard,Chicago,IL,5518-s-hyde-park-boulevard,Romanesque,,1888,Possesses potentially significant architectural or historical features(OR),,,Hyde Park ,"Maher, George W.",Single Family Residence,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=2013101016&formNumber=410514015,41.794628,-87.584372,https://chicagoarchitecturedata.com/static/images/assessor_images/20131010160000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/5518-s-hyde-park-boulevard/
1333 E 50th Street,Chicago,IL,1333-e-50th-street,Romanesque,,,Possesses potentially significant architectural or historical features(OR),,,Kenwood ,,Single Family Residence,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=2011212026&formNumber=39KNWD386,41.803929,-87.593728,https://chicagoarchitecturedata.com/static/images/assessor_images/20112120260000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/1333-e-50th-street/
201 S Ashland Avenue,Chicago,IL,201-s-ashland-avenue,Romanesque,,1953,Possesses potentially significant architectural or historical features(OR),,,Near West Side ,Burling & Whitehouse,Church,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1717110001&formNumber=282708009,41.878683,-87.666274,https://chicagoarchitecturedata.com/static/images/assessor_images/17171100010000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/201-s-ashland-avenue/
134 S Desplaines Street,Chicago,IL,134-s-desplaines-street,Romanesque,,,(RD),,,Near West Side ,Carter & Bauer,Church,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1716105026&formNumber=282706006,41.880306,-87.644165,https://chicagoarchitecturedata.com/static/images/assessor_images/17161050260000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/134-s-desplaines-street/
218 W Kinzie Street,Chicago,IL,218-w-kinzie-street,Romanesque,,,Possesses potentially significant architectural or historical features(OR),,,Near North Side ,,Commercial,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1709258009&formNumber=084207041,41.889416,-87.634882,https://chicagoarchitecturedata.com/static/images/assessor_images/17092580090000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/218-w-kinzie-street/
1519 W Huron Street,Chicago,IL,1519-w-huron-street,Romanesque,"Queen Anne, Romanesque",1889,Possesses potentially significant architectural or historical features(OR),,,West Town ,,2-3 Flat,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1708111007&formNumber=242601013,41.894012,-87.666421,https://chicagoarchitecturedata.com/static/images/assessor_images/17081110070000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/1519-w-huron-street/
1703 W Washington Boulevard,Chicago,IL,1703-w-washington-boulevard,Romanesque,"Second Empire, Classical",1892,Possesses potentially significant architectural or historical features(OR),,,Near West Side ,,Single Family Residence,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1707429007&formNumber=282717007,41.883005,-87.669599,https://chicagoarchitecturedata.com/static/images/assessor_images/17074290070000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/1703-w-washington-boulevard/
